ID,グループ,漢字,音読み,訓読み
1,1,信,シン,
2,1,達,タツ,
3,1,飛,ヒ,とぶ・とばす
4,1,席,セキ,
5,1,建,ケン,たてる
6,1,菜,サイ,な
7,1,標,ヒョウ,
8,1,例,レイ,たとえる
9,2,法,ホウ,
10,2,類,ルイ,たぐい
11,2,機,キ,
12,2,械,カイ,
13,2,司,シ,
14,2,典,テン,
15,2,順,ジュン,
16,2,録,ロク,
17,2,辞,ジ,
18,2,成,セイ,なる・なす
19,2,訓,クン,
20,3,印,イン,しるし
21,3,静,セイ,しずか・しず・しずまる・しずめる
22,3,愛,アイ,
23,3,昨,サク,
24,3,城,ジョウ,しろ
25,3,初,ショ,はじめ・はじめて・はつ・うい
26,3,景,ケイ,
27,3,群,グン,むれ・むれる・むら・られる
28,4,埼,さい,
29,4,必,ヒツ,かならず
30,4,要,ヨウ,かなめ
31,4,的,テキ,まと
32,4,府,フ,
33,4,茨,いばら,
34,4,栃,とち,
35,5,奈,ナ,
36,5,潟,かた,
37,5,富,フ,とむ・とみ
38,5,井,い,
39,5,梨,なし,
40,5,量,リョウ,はかる
41,5,岐,キ,
42,5,阜,フ,
43,5,岡,おか,
44,6,伝,デン,つたわる・つたえる・つたう
45,6,案,アン,
46,6,説,セツ,とく
47,6,試,シ,こころみる・ためす
48,6,選,セン,えらぶ
49,6,観,カン,
50,6,旗,キ,はた
51,6,利,リ,
52,7,材,ザイ,
53,7,関,カン,せき・かかわる
54,7,以,イ,
55,7,季,キ,
56,7,節,セツ,ふし
57,7,郡,グン,
